date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
15:30:57	61547/61547	---M-Z	200	added ('OK')	text/html	etag:%22f06b-5520be7b27f10-gzip%22	http://demo.designshopify.com/html_modez/page-faqs.html	C:/My%20Web%20Sites/demo20/demo.designshopify.com/html_modez/page-faqs.html	(from http://demo.designshopify.com/html_modez/index.html)
15:30:59	15126/15126	---M--	200	added ('OK')	image/jpeg	etag:%223b16-551e2fd3e7d58%22	http://demo.designshopify.com/html_modez/assets/images/300x200.jpg	C:/My%20Web%20Sites/demo20/demo.designshopify.com/html_modez/assets/images/300x200.jpg	(from http://demo.designshopify.com/html_modez/index.html)
15:30:59	7727/7727	---M--	200	added ('OK')	image/png	etag:%221e2f-551e2fe910950%22	http://demo.designshopify.com/html_modez/assets/images/ds.png	C:/My%20Web%20Sites/demo20/demo.designshopify.com/html_modez/assets/images/ds.png	(from http://demo.designshopify.com/html_modez/index.html)
15:30:59	50950/50950	---M-Z	200	added ('OK')	text/html	etag:%22c706-5520be7813db0-gzip%22	http://demo.designshopify.com/html_modez/blog.html	C:/My%20Web%20Sites/demo20/demo.designshopify.com/html_modez/blog.html	(from http://demo.designshopify.com/html_modez/index.html)
15:31:00	1404/1404	---M--	200	added ('OK')	image/png	etag:%2257c-551e2ff31e500%22	http://demo.designshopify.com/html_modez/assets/images/logo.png	C:/My%20Web%20Sites/demo20/demo.designshopify.com/html_modez/assets/images/logo.png	(from http://demo.designshopify.com/html_modez/index.html)
15:31:00	227/227	---M--	404	error ('Not%20Found')	text/html	date:Wed,%2016%20Jan%202019%2010:04:31%20GMT	http://demo.designshopify.com/html_modez/page-wishlist.html	C:/My%20Web%20Sites/demo20/demo.designshopify.com/html_modez/page-wishlist.24.delayed	(from http://demo.designshopify.com/html_modez/index.html)
15:31:02	100437/100437	---M-Z	200	added ('OK')	text/html	etag:%2218855-55298a9a60650-gzip%22	http://demo.designshopify.com/html_modez/product.html	C:/My%20Web%20Sites/demo20/demo.designshopify.com/html_modez/product.html	(from http://demo.designshopify.com/html_modez/index.html)
15:31:05	14137/14137	---M--	200	added ('OK')	image/jpeg	etag:%223739-551e2ff533458%22	http://demo.designshopify.com/html_modez/assets/images/sp1-300x410.jpg	C:/My%20Web%20Sites/demo20/demo.designshopify.com/html_modez/assets/images/sp1-300x410.jpg	(from http://demo.designshopify.com/html_modez/index.html)
15:31:05	11924/11924	---M--	200	added ('OK')	image/jpeg	etag:%222e94-551e2ff762990%22	http://demo.designshopify.com/html_modez/assets/images/sp2-300x410.jpg	C:/My%20Web%20Sites/demo20/demo.designshopify.com/html_modez/assets/images/sp2-300x410.jpg	(from http://demo.designshopify.com/html_modez/index.html)
15:31:08	16712/16712	---M--	200	added ('OK')	image/jpeg	etag:%224148-551e2ff87b9a8%22	http://demo.designshopify.com/html_modez/assets/images/sp3-300x410.jpg	C:/My%20Web%20Sites/demo20/demo.designshopify.com/html_modez/assets/images/sp3-300x410.jpg	(from http://demo.designshopify.com/html_modez/index.html)
15:31:08	16509/16509	---M--	200	added ('OK')	image/jpeg	etag:%22407d-551e2ff993a20%22	http://demo.designshopify.com/html_modez/assets/images/sp4-300x410.jpg	C:/My%20Web%20Sites/demo20/demo.designshopify.com/html_modez/assets/images/sp4-300x410.jpg	(from http://demo.designshopify.com/html_modez/index.html)
15:31:12	22976/22976	---M--	200	added ('OK')	image/jpeg	etag:%2259c0-551e2ffbc5e38%22	http://demo.designshopify.com/html_modez/assets/images/sp6-300x410.jpg	C:/My%20Web%20Sites/demo20/demo.designshopify.com/html_modez/assets/images/sp6-300x410.jpg	(from http://demo.designshopify.com/html_modez/index.html)
15:31:12	20736/20736	---M--	200	added ('OK')	image/jpeg	etag:%225100-551e2ffaae978%22	http://demo.designshopify.com/html_modez/assets/images/sp5-300x410.jpg	C:/My%20Web%20Sites/demo20/demo.designshopify.com/html_modez/assets/images/sp5-300x410.jpg	(from http://demo.designshopify.com/html_modez/index.html)
15:31:18	29887/29887	---M--	200	added ('OK')	image/jpeg	etag:%2274bf-551e2fda7e1d0%22	http://demo.designshopify.com/html_modez/assets/images/b2_370x500.jpg	C:/My%20Web%20Sites/demo20/demo.designshopify.com/html_modez/assets/images/b2_370x500.jpg	(from http://demo.designshopify.com/html_modez/index.html)
15:31:21	15692/15692	---M--	200	added ('OK')	image/jpeg	etag:%223d4c-551e2ffcb7968%22	http://demo.designshopify.com/html_modez/assets/images/sp7-300x410.jpg	C:/My%20Web%20Sites/demo20/demo.designshopify.com/html_modez/assets/images/sp7-300x410.jpg	(from http://demo.designshopify.com/html_modez/index.html)
15:31:24	12595/12595	---M--	200	added ('OK')	image/jpeg	etag:%223133-551e2ffcdcf10%22	http://demo.designshopify.com/html_modez/assets/images/sp8-300x410.jpg	C:/My%20Web%20Sites/demo20/demo.designshopify.com/html_modez/assets/images/sp8-300x410.jpg	(from http://demo.designshopify.com/html_modez/index.html)
